Country_Region,Confirmed,Deaths,dailyConfirmed,dailyDeaths
Afghanistan,105754.0,5167.0,289.0,14.0
Albania,151908.0,2036.0,416.0,5.0
Algeria,118822.0,3520.0,325.0,9.0
Andorra,15691.0,56.0,42.0,0.0
Angola,64040.0,1365.0,175.0,3.0
Antarctica,11.0,0.0,0.0,0.0
Antigua and Barbuda,4124.0,114.0,11.0,0.0
Argentina,4028894.0,73924.0,11038.0,202.0
Armenia,185521.0,5149.0,508.0,14.0
Australia,397071.0,1344.0,1087.0,3.0
Austria,914748.0,9329.0,2506.0,25.0
Azerbaijan,398247.0,5717.0,1091.0,15.0
Bahamas,16605.0,547.0,45.0,1.0
Bahrain,189387.0,1042.0,518.0,2.0
Bangladesh,1072029.0,20513.0,2937.0,56.0
Barbados,28182.0,253.0,77.0,0.0
Belarus,504826.0,4154.0,1383.0,11.0
Belgium,1458847.0,8803.0,3996.0,24.0
Belize,22064.0,354.0,60.0,0.0
Benin,21684.0,117.0,59.0,0.0
Bhutan,1990.0,3.0,5.0,0.0
Bolivia,439629.0,10515.0,1204.0,28.0
Bosnia and Herzegovina,180328.0,9392.0,494.0,25.0
Botswana,204704.0,2402.0,560.0,6.0
Brazil,14610807.0,424262.0,40029.0,1162.0
Brunei,15313.0,95.0,41.0,0.0
Bulgaria,544842.0,23379.0,1492.0,64.0
Burkina Faso,10925.0,233.0,29.0,0.0
Burma,406204.0,16586.0,1112.0,45.0
Burundi,26548.0,36.0,72.0,0.0
Cabo Verde,29892.0,239.0,81.0,0.0
Cambodia,120115.0,3012.0,329.0,8.0
Cameroon,83090.0,1403.0,227.0,3.0
Canada,1633486.0,14584.0,4475.0,39.0
Central African Republic,7200.0,38.0,19.0,0.0
Chad,3590.0,77.0,9.0,0.0
Chile,1197521.0,22507.0,3280.0,61.0
China,25325.0,67.0,69.0,0.0
Colombia,3514665.0,86729.0,9629.0,237.0
Comoros,5692.0,147.0,15.0,0.0
Congo (Brazzaville),12982.0,259.0,35.0,0.0
Congo (Kinshasa),57135.0,614.0,156.0,1.0
Costa Rica,401235.0,5168.0,1099.0,14.0
Cote d'Ivoire,48514.0,577.0,132.0,1.0
Croatia,504408.0,8618.0,1381.0,23.0
Cuba,954141.0,8176.0,2614.0,22.0
Cyprus,144481.0,518.0,395.0,1.0
Czechia,1757068.0,24549.0,4813.0,67.0
Denmark,646656.0,1984.0,1771.0,5.0
Diamond Princess,0.0,0.0,0.0,0.0
Djibouti,7825.0,128.0,21.0,0.0
Dominica,6726.0,47.0,18.0,0.0
Dominican Republic,247993.0,1833.0,679.0,5.0
Ecuador,336906.0,19647.0,923.0,53.0
Egypt,247513.0,14121.0,678.0,38.0
El Salvador,75703.0,2497.0,207.0,6.0
Equatorial Guinea,8433.0,89.0,23.0,0.0
Eritrea,6691.0,73.0,18.0,0.0
Estonia,213418.0,1703.0,584.0,4.0
Eswatini,56751.0,1098.0,155.0,3.0
Ethiopia,296078.0,5014.0,811.0,13.0
Fiji,53283.0,696.0,145.0,1.0
Finland,234407.0,1122.0,642.0,3.0
France,7400127.0,59971.0,20274.0,164.0
Gabon,32227.0,224.0,88.0,0.0
Gambia,6373.0,219.0,17.0,0.0
Georgia,707321.0,11295.0,1937.0,30.0
Germany,5446257.0,78320.0,14921.0,214.0
Ghana,88215.0,960.0,241.0,2.0
Greece,1072003.0,15952.0,2936.0,43.0
Grenada,6054.0,200.0,16.0,0.0
Guatemala,490347.0,11294.0,1343.0,30.0
Guinea,18329.0,310.0,50.0,0.0
Guinea-Bissau,4032.0,104.0,11.0,0.0
Guyana,33241.0,890.0,91.0,2.0
Haiti,16170.0,537.0,44.0,1.0
Holy See,0.0,0.0,0.0,0.0
Honduras,257575.0,7303.0,705.0,20.0
Hungary,933901.0,29649.0,2558.0,81.0
Iceland,21305.0,8.0,58.0,0.0
India,24574870.0,332492.0,67328.0,910.0
Indonesia,3519522.0,121956.0,9642.0,334.0
Iran,4969259.0,76383.0,13614.0,209.0
Iraq,1498449.0,11345.0,4105.0,31.0
Ireland,696780.0,3675.0,1908.0,10.0
Israel,960670.0,4918.0,2631.0,13.0
Italy,4018517.0,63243.0,11009.0,173.0
Jamaica,81093.0,2171.0,222.0,5.0
Japan,1496547.0,14897.0,4100.0,40.0
Jordan,768911.0,8819.0,2106.0,24.0
Kazakhstan,871322.0,15462.0,2387.0,42.0
Kenya,198570.0,3708.0,544.0,10.0
Kiribati,2.0,0.0,0.0,0.0
"Korea, North",0.0,0.0,0.0,0.0
"Korea, South",573484.0,4708.0,1571.0,12.0
Kosovo,110340.0,1658.0,302.0,4.0
Kuwait,266551.0,1534.0,730.0,4.0
Kyrgyzstan,103655.0,1447.0,283.0,3.0
Laos,111019.0,372.0,304.0,1.0
Latvia,235770.0,3935.0,645.0,10.0
Lebanon,546427.0,7651.0,1497.0,20.0
Lesotho,25314.0,614.0,69.0,1.0
Liberia,4478.0,204.0,12.0,0.0
Libya,288457.0,4232.0,790.0,11.0
Liechtenstein,3910.0,25.0,10.0,0.0
Lithuania,379375.0,5597.0,1039.0,15.0
